All Push-Up
[Archer Push-Up | (Bar)] [DIFF 6.1]
[One Arm Planche Lean] [DIFF 8.5]
[One Arm Tuck Planche] [DIFF 9.5]
[One Arm Straddle Planche] [DIFF 10.5]
[One Arm Full Planche] [DIFF 11.5]
[One Arm Planche Lean | (Parallettes)] [DIFF 8.2]
[One Arm Tuck Planche | (Parallettes)] [DIFF 9.3]
[One Arm Straddle Planche | (Parallettes)] [DIFF 10.2]
[One Arm Full Planche | (Parallettes)] [DIFF 11.2]
[One Arm Planche Lean | (Bar)] [DIFF 9.0]
[One Arm Straddle Planche | (Bar)] [DIFF 11.0]
[One Arm Tuck Planche | (Rings)] [DIFF 11.5]
[One Arm Planche Lean | Fingertip] [DIFF 10.5]
[One Arm Tuck Planche | Fingertip] [DIFF 12.0]
[One Arm Advanced Tuck Planche] [DIFF 10.0]
[One Arm Advanced Tuck Planche | (Parallettes)] [DIFF 9.8]
[One Arm Tuck Planche | (Bar)] [DIFF 10.2]
[One Arm Advanced Tuck Planche | (Bar)] [DIFF 10.8]
[One Arm Full Planche | (Bar)] [DIFF 12.5]
[One Arm Planche Lean | (Rings)] [DIFF 10.5]

All Pre-Season
[Neck Side Tilt Stretch] [DIFF 1.2]
[Upper Trapezius Stretch | Seated] [DIFF 1.3]
[Levator Scapulae Stretch] [DIFF 1.4]
[Doorway Chest Stretch] [DIFF 1.5]
[Pec Minor Stretch | Wall Corner] [DIFF 1.6]
[Supine Chest Opener | (Foam Roller)] [DIFF 1.7]
[Cross-Body Posterior Shoulder Stretch] [DIFF 1.3]
[Sleeper Stretch] [DIFF 2.5]
[Biceps Wall Stretch] [DIFF 1.5]
[Overhead Triceps Stretch] [DIFF 1.4]
[Triceps Doorframe Stretch] [DIFF 1.6]
[Kneeling Lat Stretch] [DIFF 1.6]
[Overhead Side Stretch] [DIFF 1.3]
[Seated Lat Stretch | Band (Band)] [DIFF 1.8]
[Forearm Flexor Stretch | Kneeling] [DIFF 1.5]
[Forearm Extensor Stretch] [DIFF 1.3]
[Reverse Prayer Stretch] [DIFF 2.2]
[Kneeling Hip Flexor Stretch] [DIFF 1.8]
[Couch Stretch] [DIFF 3.0]
[Couch Stretch | Wall-Assisted] [DIFF 3.4]
[Standing Quad Stretch] [DIFF 1.5]
[Prone Quad Stretch] [DIFF 1.7]
[Seated Hamstring Stretch] [DIFF 2.0]
[Supine Hamstring Stretch] [DIFF 1.8]
[Supine Hamstring Stretch | (Strap)] [DIFF 1.9]
[Standing Single-Leg Hamstring Stretch] [DIFF 2.1]
[Pancake Stretch] [DIFF 4.2]
[Butterfly Stretch] [DIFF 1.8]
[Wide-Leg Seated Stretch] [DIFF 2.6]
[Side Lunge Groin Stretch] [DIFF 2.3]
[Full Front Split] [DIFF 5.5]
[Figure-4 Glute Stretch | Supine] [DIFF 2.2]
[Figure-4 Glute Stretch | Seated] [DIFF 2.0]
[Pigeon Pose Stretch] [DIFF 2.8]
[Standing IT Band Stretch] [DIFF 1.7]
[Supine IT Band Stretch] [DIFF 1.9]
[Standing Calf Stretch | Wall] [DIFF 1.4]
[Soleus Stretch | Bent-Knee] [DIFF 1.5]
[Downward Dog Heel Drop] [DIFF 1.6]
[Tibialis Anterior Stretch] [DIFF 1.3]
[Supine Knee-to-Chest Stretch] [DIFF 1.2]
[Lumbar Rotation Stretch | Supine] [DIFF 1.5]
[Thoracic Extension | (Foam Roller)] [DIFF 1.8]
[Abdominal Stretch | Cobra] [DIFF 1.6]
[Jumping Jacks] [DIFF 1]
[High Knees] [DIFF 1]
[Butt Kicks] [DIFF 1]
[Lateral Shuffle] [DIFF 1]
[Bear Crawl] [DIFF 2]
[Mountain Climbers | Slow] [DIFF 2]
[Hip Circle] [DIFF 1]
[Leg Swing | Forward/Backward] [DIFF 1]
[Leg Swing | Lateral] [DIFF 1]
[Hip 90/90] [DIFF 2]
[Deep Squat Hold] [DIFF 2]
[Cossack Squat] [DIFF 3]
[Pigeon Pose] [DIFF 2]
[Frog Stretch] [DIFF 2]
[Ankle Circle] [DIFF 1]
[Kneeling Hip Flexor Stretch] [DIFF 1]
[Walking Lunge] [DIFF 2]
[Lateral Lunge] [DIFF 2]
[Fire Hydrant] [DIFF 1]
[Arm Circle] [DIFF 1]
[Cross-Body Shoulder Stretch] [DIFF 1]
[Wrist Circle] [DIFF 1]
[Wrist Extension Stretch] [DIFF 1]
[Thread the Needle] [DIFF 1]
[Shoulder Dislocate | (Band)] [DIFF 2]
[Chest Opener] [DIFF 1]
[Cat-Cow] [DIFF 1]
[Child's Pose] [DIFF 1]
[Cobra Stretch] [DIFF 1]
[Downward Dog] [DIFF 1]
[Open Book] [DIFF 1]
[Seated Spinal Twist] [DIFF 1]
[Bird Dog] [DIFF 2]
[Glute Bridge] [DIFF 1]
[Clamshell] [DIFF 1]
[World's Greatest Stretch] [DIFF 2.5]
[Inchworm] [DIFF 2]
[Squat to Stand] [DIFF 2]
[Downward Dog to Cobra Flow] [DIFF 2]
[T-Spine Rotation | Quadruped] [DIFF 1]
[Neck Half-Circles] [DIFF 1]
[Jump Rope | (Jump Rope)] [DIFF 2]
[Standing Hamstring Sweep] [DIFF 1]
[Thoracic Extension] [DIFF 1]
[Squat Jumps] [DIFF 2]
[Skater Hops] [DIFF 2]
[Speed Skaters] [DIFF 2]
[Box Step Touch] [DIFF 1]
[Plank Jacks] [DIFF 2]
[Tuck Jumps] [DIFF 2.0]
[Broad Jump to Walk Back] [DIFF 2]
[Inchworm | Push-Up] [DIFF 2]
[Criss-Cross Jacks] [DIFF 2]
[Seal Jacks] [DIFF 1]
[Split Jacks] [DIFF 2]
[Hip Flexor March] [DIFF 1]
[Glute Kickback | Standing] [DIFF 1]
[Donkey Kick] [DIFF 1]
[Reverse Lunge] [DIFF 1]
[Curtsy Lunge] [DIFF 2]
[Step-Back Lunge with Knee Drive] [DIFF 2]
[Single-Leg RDL] [DIFF 3]
[Sumo Squat] [DIFF 1]
[Reverse Nordic Curl | Prep] [DIFF 3]
[Ankle Dorsiflexion Stretch] [DIFF 1]
[Standing IT Band Stretch] [DIFF 1]
[Standing Quad Stretch] [DIFF 1]
[Seated Butterfly Stretch] [DIFF 1]
[Supine Knee-to-Chest] [DIFF 1]
[Supine Figure-4] [DIFF 1]
[Side-Lying Quad Stretch] [DIFF 1]
[Standing Calf Raise] [DIFF 1]
[Ankle Bounces] [DIFF 1]
[Shoulder Rolls] [DIFF 1]
[Push-Up Plus] [DIFF 1]
[Wall Angels] [DIFF 2]
[Band Pull-Apart (No Band)] [DIFF 1]
[Doorway Pec Stretch] [DIFF 1]
[Lat Stretch (Reaching Overhead)] [DIFF 1]
[Elbow Circles] [DIFF 1]
[Triceps Stretch] [DIFF 1]
[Neck Tilt & Rotation] [DIFF 1]
[Thoracic Rotation (Standing)] [DIFF 1]
[Pelvic Tilt] [DIFF 1]
[Supine Spine Twist] [DIFF 1]
[Seated Spinal Rotation] [DIFF 1]
[Prone Cobra] [DIFF 1]
[Superman] [DIFF 2]
[Side-Lying Thoracic Rotation] [DIFF 1]
[Hollow Body Hold] [DIFF 2]
[Side Plank | Activation] [DIFF 2]
[Reverse Hyperextension (Floor)] [DIFF 1]
